S12A2_HUMAN	P55011
OSBL3_HUMAN	Q9H4L5
KCNK1_HUMAN	O00180
ARFP2_HUMAN	P53365
UCHL3_HUMAN	P15374
PI3R4_HUMAN	Q99570
AT1B2_HUMAN	P14415
PLTP_HUMAN	P55058
K2C72_HUMAN;K2C73_HUMAN	Q14CN4
K2C73_HUMAN	Q86Y46
RGS6_HUMAN;RGS7_HUMAN	P49758
2A5D_HUMAN;2A5G_HUMAN	Q14738
2A5A_HUMAN	Q15172
2A5B_HUMAN	Q15173
2A5E_HUMAN	Q16537
SMCE1_HUMAN	Q969G3
RAB8B_HUMAN	Q92930
AL1L1_HUMAN;AL1L2_HUMAN	O75891
GULP1_HUMAN	Q9UBP9
DPOD2_HUMAN	P49005
UBL4A_HUMAN	P11441
KCY_HUMAN	P30085
SMD3_HUMAN	P62318
RPC22_HUMAN	P0DPB5
TP4A2_HUMAN	Q12974
RAB31_HUMAN;RB22A_HUMAN	Q13636
AT1B3_HUMAN	P54709
PFD3_HUMAN	P61758
SV2C_HUMAN	Q496J9
KV320_HUMAN	P01619
GGA1_HUMAN;GGA3_HUMAN	Q9UJY5
PCYOX_HUMAN	Q9UHG3
PP1B_HUMAN	P62140
RGS17_HUMAN	Q9UGC6
DHCR7_HUMAN	Q9UBM7
GLB1L_HUMAN	Q6UWU2
CCS_HUMAN	O14618
HCK_HUMAN	P08631
CD37L_HUMAN	Q7L3B6
PRPK_HUMAN	Q96S44
HKDC1_HUMAN;HXK1_HUMAN	Q2TB90
RHAG_HUMAN	Q02094
PAR14_HUMAN	Q460N5
GPX3_HUMAN	P22352
MARK3_HUMAN	P27448
WDR41_HUMAN	Q9HAD4
HV372_HUMAN	A0A0B4J1Y9
FOCAD_HUMAN	Q5VW36
RT02_HUMAN	Q9Y399
DX39B_HUMAN	Q13838
DX39A_HUMAN	O00148
G3BP2_HUMAN	Q9UN86
RL10_HUMAN	P27635
C1QC_HUMAN	P02747
SNX7_HUMAN	Q9UNH6
CSK21_HUMAN;CSK23_HUMAN	P68400
TAPT1_HUMAN	Q6NXT6
FABD_HUMAN	Q8IVS2
UBP40_HUMAN	Q9NVE5
PBDC1_HUMAN	Q9BVG4
HDDC2_HUMAN	Q7Z4H3
RAE1_HUMAN;RAE2_HUMAN	P24386
NHLC3_HUMAN	Q5JS37
CSK2B_HUMAN	P67870
EMC1_HUMAN	Q8N766
NDUAC_HUMAN	Q9UI09
RAN_HUMAN	P62826
PPIF_HUMAN	P30405
TOM34_HUMAN	Q15785
DYN1_HUMAN;DYN2_HUMAN	Q05193
TBB1_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB1_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8B_HUMAN;TBB8_HUMAN	Q9H4B7
TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8B_HUMAN;TBB8_HUMAN	Q13885
TBB1_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB1_HUMAN;TBB2A_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB1_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB1_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q13885
TBB1_HUMAN;TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB8_HUMAN	Q9H4B7
TBB1_HUMAN;TBB4A_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8_HUMAN	Q9H4B7
TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8B_HUMAN;TBB8_HUMAN	Q13885
KAPCA_HUMAN;KAPCB_HUMAN	P17612
DCNL3_HUMAN	Q8IWE4
NU5M_HUMAN	P03915
SCN2B_HUMAN	O60939
NOP58_HUMAN	Q9Y2X3
TIM9_HUMAN	Q9Y5J7
ITPK1_HUMAN	Q13572
EPB42_HUMAN	P16452
SAP18_HUMAN	O00422
TXNL1_HUMAN	O43396
HSBP1_HUMAN	O75506
PKP4_HUMAN	Q99569
BRSK1_HUMAN	Q8TDC3
GBRL1_HUMAN	Q9H0R8
MVD1_HUMAN	P53602
COQ7_HUMAN	Q99807
ERBB2_HUMAN	P04626
PYRD_HUMAN	Q02127
P85A_HUMAN	P27986
ARCH_HUMAN	Q8IWT0
FA50A_HUMAN	Q14320
UCHL1_HUMAN	P09936
INT3_HUMAN	Q68E01
STAT6_HUMAN	P42226
PYRG1_HUMAN	P17812
CRTC1_HUMAN	Q6UUV9
AAR2_HUMAN	Q9Y312
SMOC1_HUMAN	Q9H4F8
SAMD9_HUMAN	Q5K651
NIPS1_HUMAN	Q9BPW8
KV230_HUMAN;KVD40_HUMAN	P06310
KV320_HUMAN;KVD20_HUMAN	P01619
LV312_HUMAN	A0A075B6K2
LV321_HUMAN;LV39_HUMAN	P80748
LV321_HUMAN	P80748
ALDOA_HUMAN	P04075
AIMP2_HUMAN	Q13155
RT11_HUMAN	P82912
CDC27_HUMAN	P30260
PRPS1_HUMAN	P60891
PRPS2_HUMAN	P11908
PABP1_HUMAN;PABP3_HUMAN;PAP1M_HUMAN	P11940
RIR2_HUMAN	P31350
RIR2B_HUMAN	Q7LG56
DNJA3_HUMAN	Q96EY1
PSD1_HUMAN	A5PKW4
TMA16_HUMAN	Q96EY4
GLT11_HUMAN	Q8NCW6
TAF6_HUMAN	P49848
LMTK3_HUMAN	Q96Q04
XPP3_HUMAN	Q9NQH7
RAB18_HUMAN	Q9NP72
KCC2B_HUMAN	Q13554
MEAK7_HUMAN	Q6P9B6
DNMT1_HUMAN	P26358
NCKX4_HUMAN	Q8NFF2
HMBX1_HUMAN	Q6NT76
VPS16_HUMAN	Q9H269
CXAR_HUMAN	P78310
KYNU_HUMAN	Q16719
VAV2_HUMAN	P52735
SNX3_HUMAN	O60493
CO3A1_HUMAN;sp|CONTAMINANT_P04258	P02461
PLXA1_HUMAN;PLXA4_HUMAN	Q9UIW2
UTP18_HUMAN	Q9Y5J1
CLDN1_HUMAN	Q9NY35
SESD1_HUMAN	Q86VW0
DAG1_HUMAN	Q14118
THIOM_HUMAN	Q99757
TARSH_HUMAN	Q7Z7G0
METK1_HUMAN	Q00266
BRX1_HUMAN	Q8TDN6
TPC2L_HUMAN	Q9UL33
HSP7E_HUMAN	Q0VDF9
RS30_HUMAN	P62861
TPSN_HUMAN	O15533
TPPC3_HUMAN	O43617
PIP30_HUMAN	Q9GZU8
PLPR2_HUMAN	Q96GM1
CREG1_HUMAN	O75629
PPAL_HUMAN	P11117
MET7B_HUMAN	Q6UX53
COMD5_HUMAN	Q9GZQ3
GBRAP_HUMAN	O95166
RU1C_HUMAN	P09234
NP1L1_HUMAN;NP1L4_HUMAN	P55209
KCNA1_HUMAN	Q09470
EF1D_HUMAN	P29692
SERB_HUMAN	P78330
AKT1_HUMAN	P31749
AKT2_HUMAN	P31751
S6A11_HUMAN	P48066
ITIH2_HUMAN;sp|CONTAMINANT_Q9TRI1	P19823
E41L1_HUMAN;EPB41_HUMAN	Q9H4G0
GMDS_HUMAN	O60547
SPB4_HUMAN	P48594
SPB3_HUMAN	P29508
NDUA4_HUMAN	O00483
SC61B_HUMAN	P60468
CLD11_HUMAN	O75508
RAB20_HUMAN	Q9NX57
RAB4A_HUMAN;RAB4B_HUMAN	P20338
HXK1_HUMAN;HXK2_HUMAN	P19367
LMCD1_HUMAN	Q9NZU5
PREX1_HUMAN	Q8TCU6
GBRA3_HUMAN	P34903
HCN2_HUMAN	Q9UL51
GHC1_HUMAN;GHC2_HUMAN	Q9H936
GHC1_HUMAN	Q9H936
YBOX1_HUMAN	P67809
CADM2_HUMAN	Q8N3J6
EI2BE_HUMAN	Q13144
CENPV_HUMAN	Q7Z7K6
DPOLB_HUMAN	P06746
MRCKA_HUMAN;MRCKB_HUMAN	Q5VT25
DGKI_HUMAN	O75912
RAB1A_HUMAN	P62820
RAB1B_HUMAN	Q9H0U4
LGI4_HUMAN	Q8N135
ATAT_HUMAN	Q5SQI0
KCC2A_HUMAN;KCC2B_HUMAN;KCC2D_HUMAN	Q9UQM7
KAP0_HUMAN	P10644
XPF_HUMAN	Q92889
KTHY_HUMAN	P23919
GLYG_HUMAN	P46976
PHYD1_HUMAN	Q5SRE7
DIC_HUMAN	Q9UBX3
RAB8A_HUMAN;RAB8B_HUMAN	P61006
ACSF3_HUMAN	Q4G176
M4K5_HUMAN	Q9Y4K4
DRG2_HUMAN	P55039
CO2A1_HUMAN	P02458
CO3A1_HUMAN	P02461
ACO13_HUMAN	Q9NPJ3
RAB5B_HUMAN	P61020
ISCA2_HUMAN	Q86U28
SDC3_HUMAN	O75056
TAGL2_HUMAN;TAGL3_HUMAN	P37802
S4A8_HUMAN	Q2Y0W8
RIMB2_HUMAN	O15034
OSBP1_HUMAN	P22059
VATH_HUMAN	Q9UI12
PEAK1_HUMAN	Q9H792
MEN1_HUMAN	O00255
POP7_HUMAN	O75817
TPC12_HUMAN	Q8WVT3
ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN	P12235
HS105_HUMAN;HS74L_HUMAN;HSP74_HUMAN	Q92598
ERBB3_HUMAN	P21860
SH2D5_HUMAN	Q6ZV89
CAF17_HUMAN	Q5T440
TOM22_HUMAN	Q9NS69
NRDC_HUMAN	O43847
EIF1_HUMAN	P41567
SNX12_HUMAN	Q9UMY4
NDKA_HUMAN;NDKB_HUMAN	P15531
VPS29_HUMAN	Q9UBQ0
HXK2_HUMAN;HXK3_HUMAN	P52789
TNR16_HUMAN	P08138
CD2B2_HUMAN	O95400
NDUB5_HUMAN	O43674
LSM3_HUMAN	P62310
PITM1_HUMAN	O00562
EXOS3_HUMAN	Q9NQT5
CF251_HUMAN	Q8TBY9
KPYM_HUMAN;KPYR_HUMAN	P14618
SC11A_HUMAN	P67812
WFS1_HUMAN	O76024
MTND_HUMAN	Q9BV57
RUXE_HUMAN	P62304
WDR43_HUMAN	Q15061
LSM8_HUMAN	O95777
HACD3_HUMAN	Q9P035
NDUAA_HUMAN	O95299
EIF3L_HUMAN	Q9Y262
EGFL8_HUMAN	Q99944
CFAD_HUMAN	P00746
SMD2_HUMAN	P62316
F13B_HUMAN	P05160
ROA0_HUMAN	Q13151
TNPO2_HUMAN	O14787
LAT1_HUMAN	Q01650
PLRKT_HUMAN	Q9HBL7
FCN1_HUMAN	O00602
DUS23_HUMAN	Q9BVJ7
CG050_HUMAN	Q9BRJ6
SKAP2_HUMAN	O75563
RBBP4_HUMAN	Q09028
WDR70_HUMAN	Q9NW82
IF16_HUMAN	Q16666
UB2J1_HUMAN	Q9Y385
HMGB1_HUMAN	P09429
UBP4_HUMAN	Q13107
UBE2K_HUMAN	P61086
RPB2_HUMAN	P30876
MMP8_HUMAN	P22894
KLKB1_HUMAN	P03952
PK3CA_HUMAN	P42336
NUAK1_HUMAN	O60285
PRIO_HUMAN	P04156
CCD25_HUMAN	Q86WR0
MARCS_HUMAN	P29966
COL12_HUMAN	Q5KU26
COGA1_HUMAN	Q07092
EIF3H_HUMAN	O15372
NSMA3_HUMAN	Q9NXE4
SUV3_HUMAN	Q8IYB8
CO1A1_HUMAN;CO2A1_HUMAN	P02452
SOX_HUMAN	Q9P0Z9
MRT4_HUMAN	Q9UKD2
RUN3A_HUMAN	Q59EK9
RPB7_HUMAN	P62487
CLIP1_HUMAN;CLIP2_HUMAN	P30622
RBMX_HUMAN;RMXL1_HUMAN	P38159
TRA2B_HUMAN	P62995
TRA2A_HUMAN	Q13595
PABP2_HUMAN	Q86U42
SRS10_HUMAN	O75494
NMDE1_HUMAN;NMDE2_HUMAN	Q12879
NPNT_HUMAN	Q6UXI9
NMT1_HUMAN;NMT2_HUMAN	P30419
SP100_HUMAN	P23497
APOB_HUMAN;CONTAMINANT_ENSBTAP00000032840	P04114
BST1_HUMAN	Q10588
EPIPL_HUMAN;PLEC_HUMAN	P58107
AL1A2_HUMAN	O94788
PPBT_HUMAN	P05186
MYO1F_HUMAN	O00160
EF1B_HUMAN	P24534
VDAC2_HUMAN	P45880
CSRP1_HUMAN	P21291
PABP1_HUMAN;PABP3_HUMAN;PABP4_HUMAN	P11940
SRSF5_HUMAN	Q13243
HNRDL_HUMAN;HNRPD_HUMAN	O14979
MSI2H_HUMAN	Q96DH6
CIRBP_HUMAN	Q14011
RFOX1_HUMAN	Q9NWB1
RFOX3_HUMAN	A6NFN3
FBN1_HUMAN;FBN2_HUMAN	P35555
EGLN_HUMAN	P17813
KAD1_HUMAN;KAD5_HUMAN	P00568
PPIL3_HUMAN	Q9H2H8
VATB1_HUMAN;VATB2_HUMAN	P15313
TIMP1_HUMAN	P01033
SPB8_HUMAN	P50452
MAGT1_HUMAN	Q9H0U3
NRN1_HUMAN	Q9NPD7
PGFRB_HUMAN	P09619
GRID1_HUMAN	Q9ULK0
GPC6_HUMAN	Q9Y625
RL13_HUMAN	P26373
LASP1_HUMAN	Q14847
ANK1_HUMAN;ANK2_HUMAN;ANK3_HUMAN	P16157
TCPW_HUMAN;TCPZ_HUMAN	Q92526
HECW2_HUMAN	Q9P2P5
IGHG1_HUMAN;IGHG4_HUMAN	P01857
IGHG2_HUMAN	P01859
S7A14_HUMAN	Q8TBB6
P20D2_HUMAN	Q8IYS1
EXOS7_HUMAN	Q15024
ATRAP_HUMAN	Q6RW13
PTGR1_HUMAN	Q14914
PURB_HUMAN	Q96QR8
NECP1_HUMAN	Q8NC96
PBX2_HUMAN	P40425
TINAL_HUMAN	Q9GZM7
SEM4C_HUMAN	Q9C0C4
GPAA1_HUMAN	O43292
CDC5L_HUMAN	Q99459
SPHK2_HUMAN	Q9NRA0
GGPPS_HUMAN	O95749
VKGC_HUMAN	P38435
TRIR_HUMAN	Q9BQ61
SUCA_HUMAN	P53597
GDE1_HUMAN	Q9NZC3
TETN_HUMAN	P05452
MECR_HUMAN	Q9BV79
CX7A2_HUMAN	P14406
LHPL2_HUMAN	Q6ZUX7
MCTP1_HUMAN	Q6DN14
KAP1_HUMAN	P31321
C42S2_HUMAN	Q9NRR3
SNR40_HUMAN	Q96DI7
TM163_HUMAN	Q8TC26
SDSL_HUMAN	Q96GA7
RS23_HUMAN	P62266
GPIX_HUMAN	P14770
TRIM5_HUMAN	Q9C035
CGT_HUMAN	Q16880
NU107_HUMAN	P57740
GRAM4_HUMAN	Q6IC98
MTHR_HUMAN	P42898
RL4_HUMAN	P36578
DRB1_HUMAN	P01911
MTX2_HUMAN	O75431
AAMP_HUMAN	Q13685
RPA34_HUMAN	O15446
AP4A_HUMAN	P50583
TBB4A_HUMAN;TBB6_HUMAN	P04350
TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	Q13885
FOLH1_HUMAN	Q04609
P2RX7_HUMAN	Q99572
SCMC3_HUMAN	Q9BV35
SPAST_HUMAN	Q9UBP0
SL9B2_HUMAN	Q86UD5
TCPW_HUMAN	Q92526
CATK_HUMAN	P43235
IF4A1_HUMAN;IF4A2_HUMAN	P60842
ERF3A_HUMAN	P15170
F169A_HUMAN	Q9Y6X4
IFT74_HUMAN	Q96LB3
TSN15_HUMAN	O95858
GBP4_HUMAN	Q96PP9
NIPA1_HUMAN	Q7RTP0
PSMD9_HUMAN	O00233
NTRK2_HUMAN	Q16620
PK3C3_HUMAN	Q8NEB9
CYH1_HUMAN;CYH2_HUMAN;CYH3_HUMAN	Q15438
MYO1H_HUMAN	Q8N1T3
ADPRH_HUMAN	P54922
STAU2_HUMAN	Q9NUL3
VPS4A_HUMAN;VPS4B_HUMAN	Q9UN37
CO8B_HUMAN	P07358
PP1RA_HUMAN	Q96QC0
ACTA_HUMAN;ACTH_HUMAN;ACTS_HUMAN	P62736
LAMP2_HUMAN	P13473
CATH_HUMAN	P09668
CWC22_HUMAN	Q9HCG8
CYH1_HUMAN	Q15438
COX5A_HUMAN	P20674
ERAP2_HUMAN	Q6P179
GBP1_HUMAN;GBP3_HUMAN	P32455
LACC1_HUMAN	Q8IV20
DDHD1_HUMAN	Q8NEL9
SYT11_HUMAN	Q9BT88
TGT_HUMAN	Q9BXR0
PDE5A_HUMAN	O76074
ATG2B_HUMAN	Q96BY7
IF4A1_HUMAN;IF4A2_HUMAN;IF4A3_HUMAN	P60842
CBG_HUMAN	P08185
NTPCR_HUMAN	Q9BSD7
ALG13_HUMAN	Q9NP73
DMAC2_HUMAN	Q9NW81
RPP30_HUMAN	P78346
NT5D1_HUMAN	Q5TFE4
SNP47_HUMAN	Q5SQN1
RREB1_HUMAN	Q92766
RS13_HUMAN	P62277
PGRC1_HUMAN;PGRC2_HUMAN	O00264
IFIH1_HUMAN	Q9BYX4
LPIN1_HUMAN	Q14693
NOL11_HUMAN	Q9H8H0
CADH3_HUMAN	P22223
RM47_HUMAN	Q9HD33
RIF1_HUMAN	Q5UIP0
PDZD4_HUMAN	Q76G19
OVCA2_HUMAN	Q8WZ82
ENY2_HUMAN	Q9NPA8
GLMN_HUMAN	Q92990
DYH8_HUMAN	Q96JB1
IF16_HUMAN;IFIX_HUMAN	Q16666
HV601_HUMAN	A0A0B4J1U7
HV551_HUMAN	A0A0C4DH38
HV307_HUMAN	P01780
HV349_HUMAN	A0A0A0MS15
SMYD5_HUMAN	Q6GMV2
ENPLL_HUMAN;ENPL_HUMAN	Q58FF3
PRDX1_HUMAN;PRDX4_HUMAN	Q06830
GL1AD_HUMAN	Q6EEV4
GHC2_HUMAN	Q9H1K4
GP1BA_HUMAN	P07359
STX8_HUMAN	Q9UNK0
DLG1_HUMAN;DLG2_HUMAN;DLG4_HUMAN	Q12959
TM205_HUMAN	Q6UW68
GPKOW_HUMAN	Q92917
K2C5_HUMAN	P13647
NDUB4_HUMAN	O95168
MYPR_HUMAN	P60201
KRR1_HUMAN	Q13601
ODBB_HUMAN	P21953
KATL2_HUMAN	Q8IYT4
WDR33_HUMAN	Q9C0J8
MGAT1_HUMAN	P26572
RU2A_HUMAN	P09661
RFC3_HUMAN	P40938
TF3C3_HUMAN	Q9Y5Q9
ELAV2_HUMAN	Q12926
CORO7_HUMAN	P57737
HNRH1_HUMAN;HNRH2_HUMAN;HNRH3_HUMAN	P31943
CTND2_HUMAN;PKP4_HUMAN	Q9UQB3
MRTFB_HUMAN	Q9ULH7
ABCD1_HUMAN	P33897
KCNA1_HUMAN;KCNA2_HUMAN	Q09470
PHLA3_HUMAN	Q9Y5J5
TDR12_HUMAN	Q587J7
LGR4_HUMAN	Q9BXB1
MED1_HUMAN	Q15648
OGFD3_HUMAN	Q6PK18
KCRS_HUMAN;KCRU_HUMAN	P17540
ERI3_HUMAN	O43414
RXRB_HUMAN	P28702
TXTP_HUMAN	P53007
MMRN1_HUMAN	Q13201
PP2BC_HUMAN	P48454
TBCK_HUMAN	Q8TEA7
TM40L_HUMAN	Q969M1
CHID1_HUMAN	Q9BWS9
HV374_HUMAN	A0A0B4J1X5
ICOSL_HUMAN	O75144
PP14A_HUMAN	Q96A00
LEG3_HUMAN	P17931
DHC24_HUMAN	Q15392
PLPR4_HUMAN	Q7Z2D5
ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN;ADT4_HUMAN	P12235
LSM6_HUMAN	P62312
AAA1_HUMAN	Q9NS82
MYCT_HUMAN	Q96QE2
OAS2_HUMAN	P29728
YTDC2_HUMAN	Q9H6S0
CHSP1_HUMAN	Q9Y2V2
NLGN2_HUMAN;NLGN3_HUMAN	Q8NFZ4
HEAT3_HUMAN	Q7Z4Q2
CO8A2_HUMAN	P25067
GIPC1_HUMAN	O14908
CNN1_HUMAN	P51911
PLS4_HUMAN	Q9NRQ2
VTM2A_HUMAN	Q8TAG5
CIA30_HUMAN	Q9Y375
VAPA_HUMAN;VAPB_HUMAN	Q9P0L0
ODPAT_HUMAN;ODPA_HUMAN	P29803
CO5A3_HUMAN	P25940
CDK16_HUMAN	Q00536
CO9A1_HUMAN	P20849
PP4R2_HUMAN	Q9NY27
EVI5L_HUMAN	Q96CN4
IGHG2_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	P01859
CNN2_HUMAN;CNN3_HUMAN	Q99439
PPM1B_HUMAN	O75688
TR112_HUMAN	Q9UI30
COBA2_HUMAN	P13942
RU2B_HUMAN;SNRPA_HUMAN	P08579
NMI_HUMAN	Q13287
CLPP_HUMAN	Q16740
PRRC1_HUMAN	Q96M27
VTDB_HUMAN;sp|CONTAMINANT_Q3MHN5	P02774
T106B_HUMAN	Q9NUM4
TCF25_HUMAN	Q9BQ70
ADCY9_HUMAN	O60503
FLNA_HUMAN;FLNC_HUMAN	P21333
TNAP2_HUMAN	Q03169
POGZ_HUMAN	Q7Z3K3
SURF4_HUMAN	O15260
LEG7_HUMAN	P47929
CO2A1_HUMAN;CO3A1_HUMAN;sp|CONTAMINANT_P04258	P02458
PTBP1_HUMAN	P26599
IGLC1_HUMAN	P0CG04
EFNMT_HUMAN	Q8N6R0
CBX5_HUMAN	P45973
TTC9A_HUMAN	Q92623
MIA_HUMAN	Q16674
KAP2_HUMAN;KAP3_HUMAN	P13861
UCK1_HUMAN	Q9HA47
B4GN3_HUMAN	Q6L9W6
MEPCE_HUMAN	Q7L2J0
ENOB_HUMAN	P13929
SIAS_HUMAN	Q9NR45
MLC1_HUMAN	Q15049
PLXA1_HUMAN;PLXA2_HUMAN;PLXA4_HUMAN	Q9UIW2
AGFG2_HUMAN	O95081
GNB1L_HUMAN	Q9BYB4
VSIG4_HUMAN	Q9Y279
RAB6A_HUMAN;RAB6B_HUMAN	P20340
CSN5_HUMAN	Q92905
BACE1_HUMAN	P56817
MBLC1_HUMAN	A4D2B0
ENTP3_HUMAN	O75355
EMC4_HUMAN	Q5J8M3
SMCR8_HUMAN	Q8TEV9
ZDHC5_HUMAN	Q9C0B5
KITM_HUMAN	O00142
TCOF_HUMAN	Q13428
FYN_HUMAN;HCK_HUMAN;LYN_HUMAN;SRC_HUMAN;YES_HUMAN	P06241
YES_HUMAN	P07947
CSTF2_HUMAN	P33240
MPDZ_HUMAN	O75970
MTNA_HUMAN	Q9BV20
NTM1A_HUMAN	Q9BV86
TMCC2_HUMAN	O75069
MSTO1_HUMAN	Q9BUK6
PDE1A_HUMAN	P54750
SENP3_HUMAN	Q9H4L4
PLPL9_HUMAN	O60733
RANB9_HUMAN	Q96S59
SCD_HUMAN	O00767
SI1L1_HUMAN	O43166
MINK1_HUMAN	Q8N4C8
M4K4_HUMAN	O95819
VITRN_HUMAN	Q6UXI7
GTR1_HUMAN	P11166
SF3B6_HUMAN	Q9Y3B4
CATC_HUMAN	P53634
KPCA_HUMAN	P17252
GLPC_HUMAN	P04921
CASP3_HUMAN	P42574
CBL_HUMAN	P22681
HBG1_HUMAN;HBG2_HUMAN	P69891
HBG2_HUMAN	P69892
NEUR1_HUMAN	Q99519
RPAC2_HUMAN	P0DPB6
CGL_HUMAN	P32929
LTOR5_HUMAN	O43504
NDUF7_HUMAN	Q7L592
Z280C_HUMAN	Q8ND82
S10A7_HUMAN	P31151
DNPEP_HUMAN	Q9ULA0
PI4KB_HUMAN	Q9UBF8
CP086_HUMAN	Q6ZW13
TGBR3_HUMAN	Q03167
ACYP2_HUMAN	P14621
PGPS1_HUMAN	Q32NB8
PIGR_HUMAN	P01833
MGME1_HUMAN	Q9BQP7
QTRT2_HUMAN	Q9H974
ASAP1_HUMAN;ASAP2_HUMAN	Q9ULH1
GNPTA_HUMAN	Q3T906
HAP28_HUMAN	Q13442
SGCD_HUMAN	Q92629
UB2V1_HUMAN;UB2V2_HUMAN	Q13404
ARSB_HUMAN	P15848
AT1A1_HUMAN;AT1A2_HUMAN;AT1A3_HUMAN	P05023
PLLP_HUMAN	Q9Y342
ANX10_HUMAN	Q9UJ72
S22AN_HUMAN	A1A5C7
NU155_HUMAN	O75694
SPA5L_HUMAN	Q9BVQ7
AFG2H_HUMAN;PRS8_HUMAN	Q8NB90
NOL3_HUMAN	O60936
TRUB1_HUMAN	Q8WWH5
ARL8B_HUMAN	Q9NVJ2
CRIP2_HUMAN	P52943
HV335_HUMAN;HV374_HUMAN	A0A0C4DH35
HV335_HUMAN	A0A0C4DH35
HV311_HUMAN	P01762
FSP1_HUMAN	Q9BRQ8
AAMDC_HUMAN	Q9H7C9
FKB1A_HUMAN	P62942
BCAS3_HUMAN	Q9H6U6
RCL1_HUMAN	Q9Y2P8
CLIC5_HUMAN	Q9NZA1
RRP15_HUMAN	Q9Y3B9
MIC27_HUMAN	Q6UXV4
MK67I_HUMAN	Q9BYG3
RALY_HUMAN	Q9UKM9
TDRKH_HUMAN	Q9Y2W6
HLAH_HUMAN	P01893
RBMS3_HUMAN	Q6XE24
RBMS1_HUMAN	P29558
RBMS2_HUMAN	Q15434
MIC26_HUMAN	Q9BUR5
RUN3B_HUMAN	Q96NL0
LOXL4_HUMAN	Q96JB6
AFG1L_HUMAN	Q8WV93
NFKB1_HUMAN	P19838
B2CL2_HUMAN	Q92843
LMA2L_HUMAN	Q9H0V9
REPS1_HUMAN	Q96D71
FUT8_HUMAN	Q9BYC5
WASF3_HUMAN	Q9UPY6
DLG1_HUMAN;DLG2_HUMAN;DLG3_HUMAN	Q12959
TNPO3_HUMAN	Q9Y5L0
SV2B_HUMAN;SV2C_HUMAN	Q7L1I2
CPNE7_HUMAN	Q9UBL6
SNRPA_HUMAN	P09012
RU2B_HUMAN	P08579
PP1B_HUMAN;PP1G_HUMAN	P62140
VPS50_HUMAN	Q96JG6
FRS1L_HUMAN	Q9P0K9
UBFD1_HUMAN	O14562
DIAP2_HUMAN	O60879
ZC21A_HUMAN	Q96GY0
THOC5_HUMAN	Q13769
ATOX1_HUMAN	O00244
TSN7_HUMAN	P41732
SPF45_HUMAN	Q96I25
WASF1_HUMAN	Q92558
SPT6H_HUMAN	Q7KZ85
UBE2H_HUMAN	P62256
LHX2_HUMAN	P50458
HTAI2_HUMAN	Q9BUP3
RT35_HUMAN	P82673
ZNF24_HUMAN	P17028
H90B3_HUMAN;HS902_HUMAN;HS904_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
H90B3_HUMAN;HS902_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
ERF3A_HUMAN;ERF3B_HUMAN	P15170
PX11B_HUMAN	O96011
MTNB_HUMAN	Q96GX9
MTSS2_HUMAN	Q765P7
CAMLG_HUMAN	P49069
HS905_HUMAN	Q58FG0
HECD1_HUMAN	Q9ULT8
PRP39_HUMAN	Q86UA1
TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	P04350
CARF_HUMAN	Q9NXV6
SLFN5_HUMAN	Q08AF3
RL21_HUMAN	P46778
RAC2_HUMAN	P15153
